Datum;Zatížení s čerpáním [MW];Zatížení [MW];
01.01.2023 00:00;5978.38330078125;5978.2333984375;
01.01.2023 01:00;6028;5868.466796875;
01.01.2023 02:00;5930.5498046875;5769.5498046875;
01.01.2023 03:00;6011.7333984375;5614.2333984375;
01.01.2023 04:00;5814.2998046875;5542.68310546875;
01.01.2023 05:00;5629.0498046875;5517.0498046875;
01.01.2023 06:00;5646.38330078125;5534.38330078125;
01.01.2023 07:00;5652.88330078125;5540.88330078125;
01.01.2023 08:00;5760.31689453125;5645.2001953125;
01.01.2023 09:00;6020.63330078125;5957.85009765625;
01.01.2023 10:00;6368.2001953125;6248.033203125;
01.01.2023 11:00;6407.533203125;6402.533203125;
01.01.2023 12:00;6435;6435;
01.01.2023 13:00;6474.5498046875;6474.5498046875;
01.01.2023 14:00;6500.16650390625;6500.16650390625;
01.01.2023 15:00;6594.5166015625;6594.5166015625;
01.01.2023 16:00;6845.64990234375;6845.64990234375;
01.01.2023 17:00;6955.7001953125;6955.7001953125;
01.01.2023 18:00;7023.0498046875;7023.0498046875;
01.01.2023 19:00;6938.783203125;6938.7666015625;
01.01.2023 20:00;6831.7333984375;6831.7333984375;
01.01.2023 21:00;6923.39990234375;6481.2998046875;
01.01.2023 22:00;6516.5498046875;6359.91650390625;
01.01.2023 23:00;6638.11669921875;6090.33349609375;
02.01.2023 00:00;5878.0166015625;5811.9833984375;
02.01.2023 01:00;5826.39990234375;5795.75;
02.01.2023 02:00;5667.2666015625;5667.2666015625;
02.01.2023 03:00;5850.7333984375;5556.4501953125;
02.01.2023 04:00;6353.63330078125;5732.93310546875;
02.01.2023 05:00;6432;6318.7998046875;
02.01.2023 06:00;7358.966796875;7358.966796875;
02.01.2023 07:00;8044.2666015625;8044.2666015625;
02.01.2023 08:00;8362.31640625;8362.31640625;
02.01.2023 09:00;8606.3662109375;8606.3662109375;
02.01.2023 10:00;8698.2001953125;8698.2001953125;
02.01.2023 11:00;8773.033203125;8773.033203125;
02.01.2023 12:00;8837.68359375;8837.68359375;
02.01.2023 13:00;8877.5166015625;8877.5166015625;
02.01.2023 14:00;8753.0166015625;8753.0166015625;
02.01.2023 15:00;8782.400390625;8782.400390625;
02.01.2023 16:00;8912.6337890625;8912.6337890625;
02.01.2023 17:00;8907.783203125;8907.783203125;
02.01.2023 18:00;8817.2333984375;8817.216796875;
02.01.2023 19:00;8794.5498046875;8794.5498046875;
02.01.2023 20:00;8452.6162109375;8452.599609375;
02.01.2023 21:00;8043.5166015625;8043.5166015625;
02.01.2023 22:00;7587.2666015625;7587.2666015625;
02.01.2023 23:00;7077.783203125;7077.783203125;
03.01.2023 00:00;6749.85009765625;6749.85009765625;
03.01.2023 01:00;6796.7001953125;6736.033203125;
03.01.2023 02:00;7524.61669921875;6654.61669921875;
03.01.2023 03:00;7554.9833984375;6578.2998046875;
03.01.2023 04:00;7589.7998046875;6771.4833984375;
03.01.2023 05:00;7425.81689453125;7364.68310546875;
03.01.2023 06:00;8513.4501953125;8513.4501953125;
03.01.2023 07:00;9057.599609375;9057.599609375;
03.01.2023 08:00;9186.56640625;9186.56640625;
03.01.2023 09:00;9349.75;9349.7333984375;
03.01.2023 10:00;9378.4833984375;9378.4833984375;
03.01.2023 11:00;9357.4833984375;9357.4833984375;
03.01.2023 12:00;9408.6162109375;9408.6162109375;
03.01.2023 13:00;9425.5166015625;9425.5166015625;
03.01.2023 14:00;9235.0166015625;9235.0166015625;
03.01.2023 15:00;9273.6162109375;9273.6162109375;
03.01.2023 16:00;9377.9501953125;9377.9501953125;
03.01.2023 17:00;9355.033203125;9355.033203125;
03.01.2023 18:00;9265.783203125;9265.783203125;
03.01.2023 19:00;9199.4501953125;9199.4501953125;
03.01.2023 20:00;8871.25;8871.25;
03.01.2023 21:00;8417.599609375;8417.599609375;
03.01.2023 22:00;8050.7333984375;8050.7333984375;
03.01.2023 23:00;7986.11669921875;7640.16650390625;
04.01.2023 00:00;8063.39990234375;7338.9833984375;
04.01.2023 01:00;8387.8662109375;7337.4501953125;
04.01.2023 02:00;8346.283203125;7250.81689453125;
04.01.2023 03:00;8201.75;7115.7001953125;
04.01.2023 04:00;8351.4833984375;7293.5;
04.01.2023 05:00;8453.400390625;7932.85009765625;
04.01.2023 06:00;9121.6162109375;9096.0830078125;
04.01.2023 07:00;9624.56640625;9624.56640625;
04.01.2023 08:00;9706.150390625;9706.150390625;
04.01.2023 09:00;9791.283203125;9791.283203125;
04.01.2023 10:00;9714.3330078125;9714.3330078125;
04.01.2023 11:00;9674.8330078125;9674.8330078125;
04.01.2023 12:00;9738.900390625;9738.8837890625;
04.01.2023 13:00;9775.3330078125;9775.3330078125;
04.01.2023 14:00;9620;9620;
04.01.2023 15:00;9655.7333984375;9655.7333984375;
04.01.2023 16:00;9572.900390625;9572.900390625;
04.01.2023 17:00;9444.2666015625;9444.2666015625;
04.01.2023 18:00;9256.2333984375;9256.2333984375;
04.01.2023 19:00;9174.93359375;9174.93359375;
04.01.2023 20:00;8878.783203125;8878.783203125;
04.01.2023 21:00;8381.0498046875;8381.0498046875;
04.01.2023 22:00;8040.7333984375;8040.7333984375;
04.01.2023 23:00;7851.4501953125;7578.9501953125;
05.01.2023 00:00;7605.0166015625;7277.43310546875;
05.01.2023 01:00;8275.2333984375;7226.43310546875;
05.01.2023 02:00;8179.466796875;7086.466796875;
05.01.2023 03:00;8037.283203125;6953.06689453125;
05.01.2023 04:00;8208.2998046875;7149.13330078125;
05.01.2023 05:00;8093.7666015625;7698.06689453125;
05.01.2023 06:00;8808.033203125;8808.033203125;
05.01.2023 07:00;9314.4501953125;9314.4501953125;
05.01.2023 08:00;9434.5830078125;9434.5830078125;
05.01.2023 09:00;9583.4169921875;9583.4169921875;
05.01.2023 10:00;9517.8837890625;9517.8837890625;
05.01.2023 11:00;9469.400390625;9469.400390625;
05.01.2023 12:00;9365.8662109375;9365.8662109375;
05.01.2023 13:00;9323.2666015625;9323.2666015625;
05.01.2023 14:00;9127.4501953125;9127.4501953125;
05.01.2023 15:00;9159.9501953125;9159.9501953125;
05.01.2023 16:00;9230.033203125;9230.033203125;
05.01.2023 17:00;9250.9501953125;9250.9501953125;
05.01.2023 18:00;9128.1337890625;9128.1337890625;
05.01.2023 19:00;9075.8662109375;9075.8662109375;
05.01.2023 20:00;8774.7666015625;8774.7666015625;
05.01.2023 21:00;8321.5166015625;8321.5166015625;
05.01.2023 22:00;7954.14990234375;7954.14990234375;
05.01.2023 23:00;7509.58349609375;7509.58349609375;
06.01.2023 00:00;7291.466796875;7263.7333984375;
06.01.2023 01:00;8142.033203125;7304.56689453125;
06.01.2023 02:00;8108.83349609375;7118.88330078125;
06.01.2023 03:00;8127.7001953125;7036.033203125;
06.01.2023 04:00;8249.1162109375;7166.61669921875;
06.01.2023 05:00;8669.81640625;7692.61669921875;
06.01.2023 06:00;8758.5166015625;8733;
06.01.2023 07:00;9255.1669921875;9255.1669921875;
06.01.2023 08:00;9369.68359375;9369.68359375;
06.01.2023 09:00;9377.5498046875;9377.5498046875;
06.01.2023 10:00;9343.6669921875;9343.6669921875;
06.01.2023 11:00;9335.716796875;9335.716796875;
06.01.2023 12:00;9433.2998046875;9433.2998046875;
06.01.2023 13:00;9430.6669921875;9430.6669921875;
06.01.2023 14:00;9233.783203125;9233.783203125;
06.01.2023 15:00;9287.06640625;9287.0498046875;
06.01.2023 16:00;9316.81640625;9316.81640625;
06.01.2023 17:00;9195.3837890625;9195.3837890625;
